city,date,price
Los Angeles,2014-01,446000
Los Angeles,2014-02,448900
Los Angeles,2014-03,449100
Los Angeles,2014-04,453800
Los Angeles,2014-05,455500
Los Angeles,2014-06,457400
Los Angeles,2014-07,460800
Los Angeles,2014-08,462900
Los Angeles,2014-09,466500
Los Angeles,2014-10,470800
Los Angeles,2014-11,470200
Los Angeles,2014-12,473100
Los Angeles,2015-01,473100
Los Angeles,2015-02,480500
Los Angeles,2015-03,485400
Los Angeles,2015-04,490600
Los Angeles,2015-05,488200
Los Angeles,2015-06,489700
Los Angeles,2015-07,493300
Los Angeles,2015-08,503000
Los Angeles,2015-09,504000
Los Angeles,2015-10,500200
Los Angeles,2015-11,497700
Los Angeles,2015-12,508000
Los Angeles,2016-01,518900
Los Angeles,2016-02,524800
Los Angeles,2016-03,521800
Los Angeles,2016-04,524500
Los Angeles,2016-05,529000
Los Angeles,2016-06,530400
Los Angeles,2016-07,530300
Los Angeles,2016-08,531000
Los Angeles,2016-09,537200
Los Angeles,2016-10,536600
Los Angeles,2016-11,541400
Los Angeles,2016-12,537400
Los Angeles,2017-01,547800
Los Angeles,2017-02,546700
Los Angeles,2017-03,553900
Los Angeles,2017-04,549200
Los Angeles,2017-05,554500
Los Angeles,2017-06,560600
Los Angeles,2017-07,567300
Los Angeles,2017-08,569100
Los Angeles,2017-09,573700
Los Angeles,2017-10,583200
Los Angeles,2017-11,601000
Los Angeles,2017-12,607400
Los Angeles,2018-01,610800
Los Angeles,2018-02,616000
Los Angeles,2018-03,624500
Los Angeles,2018-04,629600
Los Angeles,2018-05,627900
Los Angeles,2018-06,634800
Los Angeles,2018-07,632900
Los Angeles,2018-08,638600
Los Angeles,2018-09,642400
Los Angeles,2018-10,661200
Los Angeles,2018-11,671700
Los Angeles,2018-12,671400
Los Angeles,2019-01,681400
Los Angeles,2019-02,684700
Los Angeles,2019-03,701200
Los Angeles,2019-04,701000
Los Angeles,2019-05,702600
Los Angeles,2019-06,706800
Los Angeles,2019-07,712200
Los Angeles,2019-08,717600
Los Angeles,2019-09,714400
Los Angeles,2019-10,712800
Los Angeles,2019-11,720400
Los Angeles,2019-12,726400
San Diego,2014-01,436600
San Diego,2014-02,437700
San Diego,2014-03,438100
San Diego,2014-04,439700
San Diego,2014-05,443300
San Diego,2014-06,444700
San Diego,2014-07,448300
San Diego,2014-08,455300
San Diego,2014-09,461500
San Diego,2014-10,468600
San Diego,2014-11,467100
San Diego,2014-12,466000
San Diego,2015-01,465000
San Diego,2015-02,473500
San Diego,2015-03,481300
San Diego,2015-04,481700
San Diego,2015-05,476900
San Diego,2015-06,476500
San Diego,2015-07,480300
San Diego,2015-08,481200
San Diego,2015-09,473400
San Diego,2015-10,470100
San Diego,2015-11,475100
San Diego,2015-12,489100
San Diego,2016-01,499700
San Diego,2016-02,498600
San Diego,2016-03,489900
San Diego,2016-04,491500
San Diego,2016-05,495200
San Diego,2016-06,500800
San Diego,2016-07,500400
San Diego,2016-08,503300
San Diego,2016-09,508200
San Diego,2016-10,518500
San Diego,2016-11,524000
San Diego,2016-12,524000
San Diego,2017-01,527100
San Diego,2017-02,535700
San Diego,2017-03,542200
San Diego,2017-04,535700
San Diego,2017-05,529600
San Diego,2017-06,534700
San Diego,2017-07,541400
San Diego,2017-08,546000
San Diego,2017-09,546000
San Diego,2017-10,551200
San Diego,2017-11,564500
San Diego,2017-12,573200
San Diego,2018-01,575700
San Diego,2018-02,574000
San Diego,2018-03,580100
San Diego,2018-04,585300
San Diego,2018-05,590400
San Diego,2018-06,592700
San Diego,2018-07,591900
San Diego,2018-08,592400
San Diego,2018-09,594700
San Diego,2018-10,593500
San Diego,2018-11,589600
San Diego,2018-12,584000
San Diego,2019-01,590300
San Diego,2019-02,595800
San Diego,2019-03,597500
San Diego,2019-04,598100
San Diego,2019-05,594400
San Diego,2019-06,596100
San Diego,2019-07,595600
San Diego,2019-08,601700
San Diego,2019-09,602100
San Diego,2019-10,607300
San Diego,2019-11,613200
San Jose,2014-01,618800
San Jose,2014-02,623000
San Jose,2014-03,624100
San Jose,2014-04,628400
San Jose,2014-05,632700
San Jose,2014-06,638700
San Jose,2014-07,637800
San Jose,2014-08,647400
San Jose,2014-09,652700
San Jose,2014-10,659300
San Jose,2014-11,661700
San Jose,2014-12,666800
San Jose,2015-01,676100
San Jose,2015-02,667300
San Jose,2015-03,678000
San Jose,2015-04,680700
San Jose,2015-05,699300
San Jose,2015-06,700800
San Jose,2015-07,711200
San Jose,2015-08,718600
San Jose,2015-09,728300
San Jose,2015-10,729300
San Jose,2015-11,730800
San Jose,2015-12,735300
San Jose,2016-01,736700
San Jose,2016-02,744400
San Jose,2016-03,751600
San Jose,2016-04,758900
San Jose,2016-05,763100
San Jose,2016-06,758500
San Jose,2016-07,764800
San Jose,2016-08,764100
San Jose,2016-09,763800
San Jose,2016-10,767100
San Jose,2016-11,771300
San Jose,2016-12,779600
San Jose,2017-01,787300
San Jose,2017-02,801100
San Jose,2017-03,807700
San Jose,2017-04,809400
San Jose,2017-05,807900
San Jose,2017-06,813500
San Jose,2017-07,826500
San Jose,2017-08,836200
San Jose,2017-09,856400
San Jose,2017-10,878600
San Jose,2017-11,914100
San Jose,2017-12,961000
San Jose,2018-01,985600
San Jose,2018-02,1024800
San Jose,2018-03,1040700
San Jose,2018-04,1060100
San Jose,2018-05,1056300
San Jose,2018-06,1041500
San Jose,2018-07,1018800
San Jose,2018-08,1002000
San Jose,2018-09,994600
San Jose,2018-10,1002300
San Jose,2018-11,983900
San Jose,2018-12,980200
San Jose,2019-01,976800
San Jose,2019-02,972800
San Jose,2019-03,961800
San Jose,2019-04,945700
San Jose,2019-05,942000
San Jose,2019-06,938700
San Jose,2019-07,937800
San Jose,2019-08,935100
San Jose,2019-09,928700
San Jose,2019-10,915900
San Jose,2019-11,920800
San Jose,2019-12,943400
San Francisco,2014-01,908700
San Francisco,2014-02,926700
San Francisco,2014-03,943000
San Francisco,2014-04,927500
San Francisco,2014-05,925500
San Francisco,2014-06,943300
San Francisco,2014-07,963200
San Francisco,2014-08,980000
San Francisco,2014-09,977800
San Francisco,2014-10,992500
San Francisco,2014-11,1018500
San Francisco,2014-12,1025800
San Francisco,2015-01,1021400
San Francisco,2015-02,1041900
San Francisco,2015-03,1066300
San Francisco,2015-04,1102100
San Francisco,2015-05,1117900
San Francisco,2015-06,1127200
San Francisco,2015-07,1132600
San Francisco,2015-08,1118600
San Francisco,2015-09,1115400
San Francisco,2015-10,1115800
San Francisco,2015-11,1132500
San Francisco,2015-12,1162000
San Francisco,2016-01,1183500
San Francisco,2016-02,1183300
San Francisco,2016-03,1159300
San Francisco,2016-04,1155200
San Francisco,2016-05,1148900
San Francisco,2016-06,1156300
San Francisco,2016-07,1151200
San Francisco,2016-08,1150500
San Francisco,2016-09,1152400
San Francisco,2016-10,1174700
San Francisco,2016-11,1179900
San Francisco,2016-12,1198600
San Francisco,2017-01,1116400
San Francisco,2017-02,1125200
San Francisco,2017-03,1111800
San Francisco,2017-04,1181400
San Francisco,2017-05,1184900
San Francisco,2017-06,1208300
San Francisco,2017-07,1215500
San Francisco,2017-08,1234100
San Francisco,2017-09,1249100
San Francisco,2017-10,1272600
San Francisco,2017-11,1290300
San Francisco,2017-12,1288000
San Francisco,2018-01,1291300
San Francisco,2018-02,1279500
San Francisco,2018-03,1300000
San Francisco,2018-04,1301700
San Francisco,2018-05,1319500
San Francisco,2018-06,1313200
San Francisco,2018-07,1319700
San Francisco,2018-08,1333200
San Francisco,2018-09,1347200
San Francisco,2018-10,1346100
San Francisco,2018-11,1321400
San Francisco,2018-12,1335600
San Francisco,2019-01,1304300
San Francisco,2019-02,1307700
San Francisco,2019-03,1293900
San Francisco,2019-04,1337200
San Francisco,2019-05,1336300
Sacramento,2014-01,199100
Sacramento,2014-02,195400
Sacramento,2014-03,194800
Sacramento,2014-04,199200
Sacramento,2014-05,202500
Sacramento,2014-06,203600
Sacramento,2014-07,203000
Sacramento,2014-08,204700
Sacramento,2014-09,208400
Sacramento,2014-10,210500
Sacramento,2014-11,212700
Sacramento,2014-12,209400
Sacramento,2015-01,210300
Sacramento,2015-02,217400
Sacramento,2015-03,220800
Sacramento,2015-04,226100
Sacramento,2015-05,223300
Sacramento,2015-06,227800
Sacramento,2015-07,226000
Sacramento,2015-08,227000
Sacramento,2015-09,227200
Sacramento,2015-10,233700
Sacramento,2015-11,235100
Sacramento,2015-12,239300
Sacramento,2016-01,240200
Sacramento,2016-02,246600
Sacramento,2016-03,251000
Sacramento,2016-04,250400
Sacramento,2016-05,248900
Sacramento,2016-06,248700
Sacramento,2016-07,253600
Sacramento,2016-08,255100
Sacramento,2016-09,256500
Sacramento,2016-10,258500
Sacramento,2016-11,264600
Sacramento,2016-12,264200
Sacramento,2017-01,266700
Sacramento,2017-02,263200
Sacramento,2017-03,265800
Sacramento,2017-04,266500
Sacramento,2017-05,267300
Sacramento,2017-06,269600
Sacramento,2017-07,272300
Sacramento,2017-08,275000
Sacramento,2017-09,275100
Sacramento,2017-10,276800
Sacramento,2017-11,278300
Sacramento,2017-12,285400
Sacramento,2018-01,289000
Sacramento,2018-02,294500
Sacramento,2018-03,296800
Sacramento,2018-04,298700
Sacramento,2018-05,298500
Sacramento,2018-06,297600
Sacramento,2018-07,298500
Sacramento,2018-08,300800
Sacramento,2018-09,301800
Sacramento,2018-10,302800
Sacramento,2018-11,303200
Sacramento,2018-12,304300
Sacramento,2019-01,307200
Sacramento,2019-02,311600
Sacramento,2019-03,312800
Sacramento,2019-04,313100
Sacramento,2019-05,311300
Sacramento,2019-06,313400
Sacramento,2019-07,319800
Sacramento,2019-08,318800
Sacramento,2019-09,321600
Sacramento,2019-10,313800
Sacramento,2019-11,321700
Sacramento,2019-12,325700
Fresno,2014-01,172600
Fresno,2014-02,169000
Fresno,2014-03,171900
Fresno,2014-04,176400
Fresno,2014-05,180200
Fresno,2014-06,173700
Fresno,2014-07,172600
Fresno,2014-08,169400
Fresno,2014-09,176300
Fresno,2014-10,178600
Fresno,2014-11,179800
Fresno,2014-12,177800
Fresno,2015-01,188400
Fresno,2015-02,193400
Fresno,2015-03,198200
Fresno,2015-04,190200
Fresno,2015-05,189200
Fresno,2015-06,187900
Fresno,2015-07,190200
Fresno,2015-08,195500
Fresno,2015-09,194900
Fresno,2015-10,194700
Fresno,2015-11,191600
Fresno,2015-12,195800
Fresno,2016-01,196600
Fresno,2016-02,192200
Fresno,2016-03,192500
Fresno,2016-04,193400
Fresno,2016-05,200600
Fresno,2016-06,201500
Fresno,2016-07,203300
Fresno,2016-08,206100
Fresno,2016-09,207900
Fresno,2016-10,213600
Fresno,2016-11,215200
Fresno,2016-12,217600
Fresno,2017-01,219500
Fresno,2017-02,216300
Fresno,2017-03,215200
Fresno,2017-04,211300
Fresno,2017-05,215000
Fresno,2017-06,219800
Fresno,2017-07,224200
Fresno,2017-08,227000
Fresno,2017-09,234600
Fresno,2017-10,236800
Fresno,2017-11,241200
Fresno,2017-12,235000
Fresno,2018-01,236000
Fresno,2018-02,238900
Fresno,2018-03,242400
Fresno,2018-04,243400
Fresno,2018-05,243200
Fresno,2018-06,247300
Fresno,2018-07,245400
Fresno,2018-08,244800
Fresno,2018-09,241300
Fresno,2018-10,242900
Fresno,2018-11,243000
Fresno,2018-12,242300
Fresno,2019-01,245800
Fresno,2019-02,246300
Fresno,2019-03,245300
Fresno,2019-04,242800
Fresno,2019-05,242000
Fresno,2019-06,240200
Fresno,2019-07,241300
Fresno,2019-08,243100
Fresno,2019-09,249900
Fresno,2019-10,249500
Fresno,2019-11,253400
Fresno,2019-12,253300
Long Beach,2014-01,406400
Long Beach,2014-02,409500
Long Beach,2014-03,402300
Long Beach,2014-04,404400
Long Beach,2014-05,407700
Long Beach,2014-06,402400
Long Beach,2014-07,396500
Long Beach,2014-08,392200
Long Beach,2014-09,405200
Long Beach,2014-10,409600
Long Beach,2014-11,411700
Long Beach,2014-12,405500
Long Beach,2015-01,405700
Long Beach,2015-02,414400
Long Beach,2015-03,423500
Long Beach,2015-04,431100
Long Beach,2015-05,436300
Long Beach,2015-06,445500
Long Beach,2015-07,450700
Long Beach,2015-08,458000
Long Beach,2015-09,449300
Long Beach,2015-10,445900
Long Beach,2015-11,439400
Long Beach,2015-12,448400
Long Beach,2016-01,449500
Long Beach,2016-02,466700
Long Beach,2016-03,476000
Long Beach,2016-04,478300
Long Beach,2016-05,477900
Long Beach,2016-06,465600
Long Beach,2016-07,473600
Long Beach,2016-08,463200
Long Beach,2016-09,473400
Long Beach,2016-10,463900
Long Beach,2016-11,481000
Long Beach,2016-12,472200
Long Beach,2017-01,468600
Long Beach,2017-02,450200
Long Beach,2017-03,452900
Long Beach,2017-04,461300
Long Beach,2017-05,459700
Long Beach,2017-06,470100
Long Beach,2017-07,477300
Long Beach,2017-08,483200
Long Beach,2017-09,485700
Long Beach,2017-10,489300
Long Beach,2017-11,507200
Long Beach,2017-12,506900
Long Beach,2018-01,525900
Long Beach,2018-02,542100
Long Beach,2018-03,546400
Long Beach,2018-04,524300
Long Beach,2018-05,508400
Long Beach,2018-06,511300
Long Beach,2018-07,530500
Long Beach,2018-08,545600
Long Beach,2018-09,545300
Long Beach,2018-10,557300
Long Beach,2018-11,560200
Long Beach,2018-12,566100
Long Beach,2019-01,555300
Long Beach,2019-02,554000
Long Beach,2019-03,558400
Long Beach,2019-04,559400
Long Beach,2019-05,557600
Long Beach,2019-06,569400
Long Beach,2019-07,582800
Long Beach,2019-08,581000
Long Beach,2019-09,575300
Long Beach,2019-10,579000
Long Beach,2019-11,578100
Long Beach,2019-12,575200
Oakland,2014-01,398900
Oakland,2014-02,406100
Oakland,2014-03,407600
Oakland,2014-04,425100
Oakland,2014-05,428800
Oakland,2014-06,430800
Oakland,2014-07,439800
Oakland,2014-08,444700
Oakland,2014-09,455600
Oakland,2014-10,458300
Oakland,2014-11,464200
Oakland,2014-12,460500
Oakland,2015-01,462600
Oakland,2015-02,463700
Oakland,2015-03,466700
Oakland,2015-04,493000
Oakland,2015-05,504300
Oakland,2015-06,505300
Oakland,2015-07,500900
Oakland,2015-08,519700
Oakland,2015-09,536300
Oakland,2015-10,538000
Oakland,2015-11,536100
Oakland,2015-12,550900
Oakland,2016-01,559100
Oakland,2016-02,568500
Oakland,2016-03,562100
Oakland,2016-04,558100
Oakland,2016-05,560900
Oakland,2016-06,570500
