state,occupation,measure,value
AL,Computer Programmers,Annual mean wage,       87700
AL,Computer Programmers,Annual 10th percentile wage,       47700
AL,Computer Programmers,Annual 25th percentile wage,       62640
AL,Computer Programmers,Annual median wage,       84230
AL,Computer Programmers,Annual 75th percentile wage,      106240
AL,Computer Programmers,Annual 90th percentile wage,      137180
AL,"Software Developers, Applications",Annual mean wage,       92360
AL,"Software Developers, Applications",Annual 10th percentile wage,       52150
AL,"Software Developers, Applications",Annual 25th percentile wage,       67410
AL,"Software Developers, Applications",Annual median wage,       89440
AL,"Software Developers, Applications",Annual 75th percentile wage,      115120
AL,"Software Developers, Applications",Annual 90th percentile wage,      138180
AL,"Software Developers, Systems Software",Annual mean wage,      103380
AL,"Software Developers, Systems Software",Annual 10th percentile wage,       65460
AL,"Software Developers, Systems Software",Annual 25th percentile wage,       77410
AL,"Software Developers, Systems Software",Annual median wage,       97840
AL,"Software Developers, Systems Software",Annual 75th percentile wage,      126180
AL,"Software Developers, Systems Software",Annual 90th percentile wage,      155800
AL,Web Developers,Annual mean wage,       59560
AL,Web Developers,Annual 10th percentile wage,       32750
AL,Web Developers,Annual 25th percentile wage,       43500
AL,Web Developers,Annual median wage,       54840
AL,Web Developers,Annual 75th percentile wage,       72430
AL,Web Developers,Annual 90th percentile wage,       95130
AK,Computer Programmers,Annual mean wage,       92970
AK,Computer Programmers,Annual 10th percentile wage,       53120
AK,Computer Programmers,Annual 25th percentile wage,       67600
AK,Computer Programmers,Annual median wage,       85590
AK,Computer Programmers,Annual 75th percentile wage,      102230
AK,Computer Programmers,Annual 90th percentile wage,      128820
AK,Web Developers,Annual mean wage,       60040
AK,Web Developers,Annual 10th percentile wage,       35390
AK,Web Developers,Annual 25th percentile wage,       42080
AK,Web Developers,Annual median wage,       53860
AK,Web Developers,Annual 75th percentile wage,       75070
AK,Web Developers,Annual 90th percentile wage,       93270
AZ,Computer Programmers,Annual mean wage,       88700
AZ,Computer Programmers,Annual 10th percentile wage,       46260
