language,date,value
Java,2001-06-30,26.492
Java,2001-07-30,25.028
Java,2001-08-30,24.66
Java,2001-09-28,24.817
Java,2001-10-26,25.676
Java,2001-11-28,24.369
Java,2001-12-31,24.195
Java,2002-01-30,24.063
Java,2002-02-27,24.005
Java,2002-03-29,24.409
Java,2002-04-29,25.049
Java,2002-05-29,25.195
Java,2002-06-29,24.196
Java,2002-07-31,24.534
Java,2002-08-29,22.886
Java,2002-09-29,24.482
Java,2002-10-30,24.201
Java,2002-11-29,24.116
Java,2002-12-31,24.227
Java,2003-01-31,24.791
Java,2003-02-28,24.775
Java,2003-03-31,24.596
Java,2003-04-30,24.664
Java,2003-05-30,23.108
Java,2003-06-30,22.337
Java,2003-07-31,23.209
Java,2003-08-31,22.242
Java,2003-09-30,21.902
Java,2003-10-31,23.084
Java,2003-11-30,25.008
Java,2003-12-31,23.573
Java,2004-01-31,22.564
Java,2004-02-29,23.173
Java,2004-03-31,24.24
Java,2004-04-30,18.692
Java,2004-05-30,17.539
Java,2004-06-30,17.055
Java,2004-07-31,16.997
Java,2004-08-30,15.896
Java,2004-09-30,17.05
Java,2004-10-31,14.804
Java,2004-11-30,16.332
Java,2004-12-31,17.478
Java,2005-01-31,18.34
Java,2005-02-28,18.871
Java,2005-03-31,16.981
Java,2005-04-30,17.397
Java,2005-05-31,18.569
Java,2005-06-30,19.659
Java,2005-07-31,21.206
Java,2005-08-31,22.442
Java,2005-09-30,21.871
Java,2005-12-03,22.128
Java,2006-01-04,22.255
Java,2006-02-02,22.43
Java,2006-03-01,21.889
Java,2006-04-02,21.275
Java,2006-05-01,21.316
Java,2006-06-01,21.128
Java,2006-07-02,21.853
Java,2006-08-02,22.377
Java,2006-09-02,21.532
Java,2006-10-01,21.172
Java,2006-11-02,20.4
Java,2006-12-01,19.907
Java,2007-01-02,19.16
Java,2007-02-03,18.978
Java,2007-03-03,18.044
Java,2007-04-01,18.36
Java,2007-05-05,19.14
Java,2007-06-02,20.025
Java,2007-07-02,21.014
Java,2007-08-05,21.768
Java,2007-09-02,21.701
Java,2007-10-04,21.616
Java,2007-11-04,20.542
Java,2007-12-03,20.049
Java,2008-01-03,20.849
Java,2008-02-07,21.483
Java,2008-06-01,20.89
Java,2008-07-02,21.345
Java,2008-08-03,21.571
Java,2008-09-03,20.715
Java,2008-10-06,20.949
Java,2008-11-02,20.299
Java,2008-12-03,17.917
Java,2009-01-02,19.022
Java,2009-02-01,19.401
Java,2009-03-05,19.797
Java,2009-04-07,19.341
Java,2009-05-01,19.537
Java,2009-06-04,20.147
Java,2009-07-02,20.452
Java,2009-08-01,19.527
Java,2009-09-05,19.383
Java,2009-10-02,18.65
Java,2009-11-02,18.373
Java,2009-12-02,17.061
Java,2010-01-05,17.482
Java,2010-02-07,17.348
Java,2010-03-07,17.509
Java,2010-04-05,18.051
Java,2010-05-15,17.957
Java,2010-07-06,18.673
Java,2010-07-30,17.994
Java,2010-09-11,17.915
Java,2010-10-02,18.166
Java,2010-11-03,18.509
Java,2010-12-07,17.999
Java,2011-01-02,17.773
Java,2011-02-08,18.482
Java,2011-03-08,19.711
Java,2011-04-03,19.043
Java,2011-05-02,18.16
Java,2011-06-05,18.58
Java,2011-06-27,18.58
Java,2011-07-08,19.251
Java,2011-08-03,19.409
Java,2011-09-10,18.761
Java,2011-10-09,17.913
Java,2011-11-07,17.874
Java,2011-12-04,17.561
Java,2012-01-08,17.468
Java,2012-02-05,17.05
Java,2012-03-11,17.11
Java,2012-04-08,17.026
Java,2012-05-09,16.599
Java,2012-06-10,16.265
Java,2012-07-04,16.087
Java,2012-08-10,16.352
Java,2012-09-02,16.267
Java,2012-10-05,17.193
Java,2012-11-04,17.455
Java,2012-12-02,17.567
Java,2013-01-05,17.417
Java,2013-02-08,18.387
Java,2013-03-11,18.156
Java,2013-04-07,17.681
Java,2013-05-08,16.914
Java,2013-06-09,16.656
Java,2013-07-07,15.906
Java,2013-07-12,15.906
Java,2013-08-04,15.978
Java,2013-09-11,16.154
Java,2013-10-10,16.107
Java,2013-11-09,16.521
Java,2013-12-06,17.311
Java,2014-01-01,16.523
Java,2014-02-08,17.316
Java,2014-03-03,16.406
Java,2014-04-10,17.348
Java,2014-05-07,16.907
Java,2014-06-08,16.113
Java,2014-07-06,15.688
Java,2014-08-11,14.984
Java,2014-09-01,14.14
Java,2014-10-03,13.506
Java,2014-11-08,14.391
Java,2014-12-07,14.959
Java,2015-01-06,15.528
Java,2015-02-05,15.345
Java,2015-03-07,15.58
Java,2015-04-13,16.041
Java,2015-05-13,16.869
Java,2015-06-06,17.822
Java,2015-07-12,17.728
Java,2015-08-06,19.274
Java,2015-09-05,19.565
Java,2015-10-04,19.543
Java,2015-11-07,20.403
Java,2015-12-04,20.973
Java,2016-01-02,21.465
Java,2016-02-02,21.145
Java,2016-03-03,20.528
Java,2016-04-07,20.846
Java,2016-05-06,20.956
Java,2016-06-05,20.794
Java,2016-07-04,19.804
Java,2016-08-06,19.01
Java,2016-09-08,18.236
Java,2016-10-07,18.799
Java,2016-11-05,18.755
Java,2016-12-04,17.856
Java,2017-01-07,17.278
Java,2017-02-08,16.676
Java,2017-03-07,16.384
Java,2017-04-09,15.568
Java,2017-05-06,14.639
Java,2017-06-03,14.493
Java,2017-07-07,13.774
Java,2017-08-02,12.961
Java,2017-09-06,12.687
Java,2017-10-05,12.431
Java,2017-11-12,13.231
Java,2017-12-09,13.268
Java,2018-01-03,14.215
Java,2018-02-08,14.988
Java,2018-03-07,14.941
Java,2018-04-01,15.777
Java,2018-05-06,16.38
Java,2018-06-10,15.368
Java,2018-07-07,16.139
Java,2018-08-01,16.881
Java,2018-09-03,17.436
Java,2018-10-05,17.801
Java,2018-11-08,16.746
Java,2018-12-02,15.932
Java,2019-01-04,16.904
Java,2019-02-06,15.876
Java,2019-03-02,14.88
Java,2019-04-07,15.035
Java,2019-05-04,16.005
Java,2019-06-09,15.004
Java,2019-07-06,15.058
Java,2019-08-05,16.028
Java,2019-09-09,16.661
Java,2019-10-05,16.884
Java,2019-11-03,16.246
C,2001-06-30,20.24
C,2001-07-30,20.773
C,2001-08-30,20.747
C,2001-09-28,20.772
C,2001-10-26,19.751
C,2001-11-28,19.212
C,2001-12-31,20.136
C,2002-01-30,18.825
C,2002-02-27,19.888
C,2002-03-29,19.852
C,2002-04-29,19.82
C,2002-05-29,19.987
C,2002-06-29,19.573
C,2002-07-31,19.251
C,2002-08-29,18.162
C,2002-09-29,18.695
C,2002-10-30,18.727
C,2002-11-29,17.505
C,2002-12-31,17.259
C,2003-01-31,18.249
C,2003-02-28,18.54
C,2003-03-31,17.213
C,2003-04-30,18.017
C,2003-05-30,18.501
C,2003-06-30,18.516
C,2003-07-31,17.969
C,2003-08-31,17.776
C,2003-09-30,18.309
C,2003-10-31,17.002
C,2003-11-30,18.473
C,2003-12-31,18.6
C,2004-01-31,18.195
C,2004-02-29,18.928
C,2004-03-31,17.75
C,2004-04-30,17.951
C,2004-05-30,18.29
C,2004-06-30,17.144
C,2004-07-31,16.335
C,2004-08-30,17.122
C,2004-09-30,18.172
C,2004-10-31,17.992
C,2004-11-30,19.696
C,2004-12-31,20.709
C,2005-01-31,19.82
C,2005-02-28,19.465
C,2005-03-31,18.63
C,2005-04-30,18.522
C,2005-05-31,19.368
C,2005-06-30,19.846
C,2005-07-31,19.473
C,2005-08-31,19.16
C,2005-09-30,18.773
C,2005-12-03,19.632
C,2006-01-04,19.008
C,2006-02-02,18.33
C,2006-03-01,17.794
C,2006-04-02,17.688
C,2006-05-01,17.69
C,2006-06-01,18.253
C,2006-07-02,17.829
C,2006-08-02,17.43
C,2006-09-02,18.059
C,2006-10-01,17.664
C,2006-11-02,17.198
C,2006-12-01,16.616
C,2007-01-02,15.807
C,2007-02-03,16.104
C,2007-03-03,15.633
C,2007-04-01,14.937
C,2007-05-05,15.152
C,2007-06-02,15.967
C,2007-07-02,16.363
C,2007-08-05,15.699
C,2007-09-02,14.908
C,2007-10-04,14.591
C,2007-11-04,13.969
C,2007-12-03,13.173
C,2008-01-03,13.916
C,2008-02-07,14.859
C,2008-06-01,15.513
C,2008-07-02,15.945
C,2008-08-03,16.178
C,2008-09-03,15.379
C,2008-10-06,15.565
C,2008-11-02,15.276
C,2008-12-03,15.017
C,2009-01-02,15.931
C,2009-02-01,15.837
C,2009-03-05,15.862
C,2009-04-07,15.472
C,2009-05-01,16.128
C,2009-06-04,16.779
C,2009-07-02,17.319
C,2009-08-01,17.22
C,2009-09-05,16.861
C,2009-10-02,16.843
C,2009-11-02,17.315
C,2009-12-02,16.285
C,2010-01-05,16.215
C,2010-02-07,16.602
C,2010-03-07,17.279
C,2010-04-05,18.058
C,2010-05-15,18.186
C,2010-07-06,18.48
C,2010-07-30,17.866
C,2010-09-11,17.147
C,2010-10-02,17.177
C,2010-11-03,16.717
C,2010-12-07,16.076
C,2011-01-02,15.822
C,2011-02-08,14.986
C,2011-03-08,15.262
C,2011-04-03,16.162
C,2011-05-02,16.17
C,2011-06-05,16.278
C,2011-06-27,16.278
C,2011-07-08,17.28
C,2011-08-03,17.39
C,2011-09-10,18.002
C,2011-10-09,17.707
C,2011-11-07,17.322
C,2011-12-04,17.057
C,2012-01-08,16.967
C,2012-02-05,16.523
C,2012-03-11,17.087
C,2012-04-08,17.555
C,2012-05-09,17.346
C,2012-06-10,17.725
C,2012-07-04,18.331
C,2012-08-10,18.937
C,2012-09-02,19.295
C,2012-10-05,19.822
C,2012-11-04,19.224
C,2012-12-02,18.696
C,2013-01-05,17.855
C,2013-02-08,17.08
C,2013-03-11,17.141
C,2013-04-07,17.862
C,2013-05-08,18.729
C,2013-06-09,17.809
C,2013-07-07,17.628
C,2013-07-12,17.628
C,2013-08-04,15.974
C,2013-09-11,16.975
C,2013-10-10,17.246
C,2013-11-09,18.155
C,2013-12-06,17.89
C,2014-01-01,17.944
C,2014-02-08,18.334
C,2014-03-03,17.535
C,2014-04-10,17.631
C,2014-05-07,16.926
C,2014-06-08,16.191
C,2014-07-06,17.145
C,2014-08-11,16.401
C,2014-09-01,16.721
C,2014-10-03,17.655
C,2014-11-08,17.469
C,2014-12-07,17.588
C,2015-01-06,16.703
C,2015-02-05,16.488
C,2015-03-07,16.642
C,2015-04-13,15.745
C,2015-05-13,16.847
C,2015-06-06,16.788
C,2015-07-12,16.147
C,2015-08-06,14.732
C,2015-09-05,15.621
C,2015-10-04,16.19
C,2015-11-07,17.145
C,2015-12-04,16.46
C,2016-01-02,16.036
C,2016-02-02,15.594
C,2016-03-03,14.6
C,2016-04-07,13.905
C,2016-05-06,13.223
C,2016-06-05,12.376
C,2016-07-04,12.238
C,2016-08-06,11.303
C,2016-09-08,10.955
C,2016-10-07,9.835
C,2016-11-05,9.203
C,2016-12-04,8.726
C,2017-01-07,9.349
C,2017-02-08,8.445
C,2017-03-07,7.742
C,2017-04-09,6.966
C,2017-05-06,7.002
C,2017-06-03,6.848
C,2017-07-07,7.321
C,2017-08-02,6.477
C,2017-09-06,7.382
C,2017-10-05,8.374
C,2017-11-12,9.293
C,2017-12-09,10.158
C,2018-01-03,11.037
C,2018-02-08,11.857
C,2018-03-07,12.76
C,2018-04-01,13.589
C,2018-05-06,14.0
C,2018-06-10,14.936
C,2018-07-07,14.662
C,2018-08-01,14.966
C,2018-09-03,15.447
C,2018-10-05,15.376
C,2018-11-08,14.396
C,2018-12-02,14.282
C,2019-01-04,13.337
C,2019-02-06,12.424
C,2019-03-02,13.305
C,2019-04-07,14.076
C,2019-05-04,14.243
C,2019-06-09,13.3
C,2019-07-06,14.211
C,2019-08-05,15.154
C,2019-09-09,15.205
C,2019-10-05,16.18
C,2019-11-03,16.037
Python,2001-06-30,1.25
Python,2001-07-30,1.135
Python,2001-08-30,1.197
Python,2001-09-28,1.17
Python,2001-10-26,1.284
Python,2001-11-28,1.234
Python,2001-12-31,1.043
Python,2002-01-30,1.017
Python,2002-02-27,0.987
Python,2002-03-29,0.989
Python,2002-04-29,1.069
Python,2002-05-29,1.057
Python,2002-06-29,1.125
Python,2002-07-31,1.081
Python,2002-08-29,1.217
Python,2002-09-29,1.081
Python,2002-10-30,1.187
Python,2002-11-29,1.005
Python,2002-12-31,1.002
Python,2003-01-31,1.033
Python,2003-02-28,0.974
Python,2003-03-31,0.988
Python,2003-04-30,1.007
Python,2003-05-30,1.161
Python,2003-06-30,1.285
Python,2003-07-31,1.297
Python,2003-08-31,1.425
Python,2003-09-30,1.486
Python,2003-10-31,1.766
Python,2003-11-30,1.097
Python,2003-12-31,1.125
Python,2004-01-31,1.006
Python,2004-02-29,1.018
Python,2004-03-31,1.008
Python,2004-04-30,4.565
Python,2004-05-30,6.579
Python,2004-06-30,4.963
Python,2004-07-31,4.704
Python,2004-08-30,5.597
Python,2004-09-30,4.438
Python,2004-10-31,5.2
Python,2004-11-30,3.029
Python,2004-12-31,2.842
Python,2005-01-31,2.506
Python,2005-02-28,2.424
Python,2005-03-31,2.697
Python,2005-04-30,2.48
Python,2005-05-31,2.802
Python,2005-06-30,2.525
Python,2005-07-31,2.883
Python,2005-08-31,3.032
Python,2005-09-30,2.882
Python,2005-12-03,2.678
Python,2006-01-04,2.605
Python,2006-02-02,2.669
Python,2006-03-01,3.093
Python,2006-04-02,2.759
Python,2006-05-01,3.042
Python,2006-06-01,3.464
Python,2006-07-02,3.017
Python,2006-08-02,3.071
Python,2006-09-02,3.144
Python,2006-10-01,3.466
Python,2006-11-02,3.641
Python,2006-12-01,3.762
Python,2007-01-02,3.502
Python,2007-02-03,3.566
Python,2007-03-03,3.897
Python,2007-04-01,3.814
Python,2007-05-05,3.779
Python,2007-06-02,3.161
Python,2007-07-02,3.024
Python,2007-08-05,2.749
Python,2007-09-02,3.025
Python,2007-10-04,3.433
Python,2007-11-04,4.227
Python,2007-12-03,4.697
Python,2008-01-03,5.538
Python,2008-02-07,4.763
Python,2008-06-01,4.899
Python,2008-07-02,4.973
Python,2008-08-03,4.975
Python,2008-09-03,5.012
Python,2008-10-06,4.565
Python,2008-11-02,5.14
Python,2008-12-03,4.169
Python,2009-01-02,4.731
Python,2009-02-01,4.567
Python,2009-03-05,5.185
Python,2009-04-07,6.08
Python,2009-05-01,5.548
Python,2009-06-04,4.756
Python,2009-07-02,4.435
Python,2009-08-01,4.489
Python,2009-09-05,3.93
Python,2009-10-02,3.901
Python,2009-11-02,4.672
Python,2009-12-02,5.185
Python,2010-01-05,4.453
Python,2010-02-07,4.314
Python,2010-03-07,4.23
Python,2010-04-05,4.205
Python,2010-05-15,4.097
Python,2010-07-06,4.217
Python,2010-07-30,4.223
Python,2010-09-11,4.583
Python,2010-10-02,4.86
Python,2010-11-03,5.679
Python,2010-12-07,6.482
Python,2011-01-02,6.265
Python,2011-02-08,7.038
Python,2011-03-08,5.737
Python,2011-04-03,4.931
Python,2011-05-02,4.583
Python,2011-06-05,3.899
Python,2011-06-27,3.899
Python,2011-07-08,3.583
Python,2011-08-03,3.415
Python,2011-09-10,4.0
Python,2011-10-09,3.944
Python,2011-11-07,3.617
Python,2011-12-04,3.492
Python,2012-01-08,3.213
Python,2012-02-05,3.148
Python,2012-03-11,3.291
Python,2012-04-08,3.665
Python,2012-05-09,3.819
Python,2012-06-10,3.848
Python,2012-07-04,4.0
Python,2012-08-10,3.876
Python,2012-09-02,3.861
Python,2012-10-05,3.895
Python,2012-11-04,4.062
Python,2012-12-02,3.848
Python,2013-01-05,4.173
Python,2013-02-08,4.949
Python,2013-03-11,4.388
Python,2013-04-07,4.442
Python,2013-05-08,4.322
Python,2013-06-09,4.183
Python,2013-07-07,4.035
Python,2013-07-12,4.035
Python,2013-08-04,3.603
Python,2013-09-11,3.169
Python,2013-10-10,3.107
Python,2013-11-09,3.11
Python,2013-12-06,2.21
Python,2014-01-01,2.373
Python,2014-02-08,2.157
Python,2014-03-03,2.021
Python,2014-04-10,1.993
Python,2014-05-07,3.057
Python,2014-06-08,2.71
Python,2014-07-06,2.656
Python,2014-08-11,3.121
Python,2014-09-01,2.782
Python,2014-10-03,2.333
Python,2014-11-08,2.589
Python,2014-12-07,2.287
Python,2015-01-06,2.613
Python,2015-02-05,2.882
Python,2015-03-07,2.614
Python,2015-04-13,2.69
Python,2015-05-13,3.725
Python,2015-06-06,3.999
Python,2015-07-12,4.257
Python,2015-08-06,4.066
Python,2015-09-05,3.664
Python,2015-10-04,4.512
Python,2015-11-07,3.771
Python,2015-12-04,4.429
Python,2016-01-02,3.854
Python,2016-02-02,4.18
Python,2016-03-03,4.257
Python,2016-04-07,3.33
Python,2016-05-06,3.789
Python,2016-06-05,3.9
Python,2016-07-04,4.166
Python,2016-08-06,4.404
Python,2016-09-08,4.302
Python,2016-10-07,3.775
Python,2016-11-05,3.567
Python,2016-12-04,4.239
Python,2017-01-07,3.465
Python,2017-02-08,4.043
Python,2017-03-07,3.919
Python,2017-04-09,3.457
Python,2017-05-06,3.548
Python,2017-06-03,4.333
Python,2017-07-07,3.543
Python,2017-08-02,3.692
Python,2017-09-06,2.983
Python,2017-10-05,3.803
Python,2017-11-12,4.482
Python,2017-12-09,3.777
Python,2018-01-03,4.678
Python,2018-02-08,5.168
Python,2018-03-07,5.869
Python,2018-04-01,5.803
Python,2018-05-06,5.192
Python,2018-06-10,5.761
Python,2018-07-07,6.361
Python,2018-08-01,6.992
Python,2018-09-03,7.653
Python,2018-10-05,7.156
Python,2018-11-08,7.683
Python,2018-12-02,8.376
Python,2019-01-04,8.294
Python,2019-02-06,7.574
Python,2019-03-02,8.262
Python,2019-04-07,8.166
Python,2019-05-04,7.83
Python,2019-06-09,8.53
Python,2019-07-06,9.26
Python,2019-08-05,10.02
Python,2019-09-09,9.874
Python,2019-10-05,9.089
Python,2019-11-03,9.842
C++,2001-06-30,14.2
C++,2001-07-30,16.111
C++,2001-08-30,16.124
C++,2001-09-28,15.852
C++,2001-10-26,16.097
C++,2001-11-28,15.673
C++,2001-12-31,14.963
C++,2002-01-30,15.182
C++,2002-02-27,15.537
C++,2002-03-29,15.912
C++,2002-04-29,15.372
C++,2002-05-29,14.857
C++,2002-06-29,14.179
C++,2002-07-31,14.939
C++,2002-08-29,14.769
C++,2002-09-29,15.897
C++,2002-10-30,15.035
C++,2002-11-29,13.644
C++,2002-12-31,13.186
C++,2003-01-31,14.634
C++,2003-02-28,15.533
C++,2003-03-31,14.572
C++,2003-04-30,15.801
C++,2003-05-30,15.584
C++,2003-06-30,16.719
C++,2003-07-31,16.577
C++,2003-08-31,17.531
C++,2003-09-30,16.173
C++,2003-10-31,16.312
C++,2003-11-30,17.422
C++,2003-12-31,16.083
C++,2004-01-31,15.71
C++,2004-02-29,14.5
C++,2004-03-31,15.99
C++,2004-04-30,12.27
C++,2004-05-30,12.548
C++,2004-06-30,13.442
C++,2004-07-31,15.306
C++,2004-08-30,14.916
C++,2004-09-30,15.016
C++,2004-10-31,13.865
C++,2004-11-30,11.914
C++,2004-12-31,11.927
C++,2005-01-31,11.337
C++,2005-02-28,11.632
C++,2005-03-31,10.191
C++,2005-04-30,9.903
C++,2005-05-31,9.722
C++,2005-06-30,11.06
C++,2005-07-31,10.514
C++,2005-08-31,11.168
C++,2005-09-30,11.82
C++,2005-12-03,11.027
C++,2006-01-04,11.465
C++,2006-02-02,11.295
C++,2006-03-01,11.159
C++,2006-04-02,10.9
C++,2006-05-01,10.935
C++,2006-06-01,10.67
C++,2006-07-02,9.779
C++,2006-08-02,10.254
C++,2006-09-02,10.753
C++,2006-10-01,11.063
C++,2006-11-02,11.055
C++,2006-12-01,10.409
C++,2007-01-02,10.425
